job_id,title,company,city,country,employment_type,is_remote,posted_at,skills_detected,n_skills_detected
PG2F9JuZWZZcMCfaAAAAAA==,Data Scientist,Checkatrade,,,A tiempo completo,False,,Python,1
skuuScH_cgjNpw3wAAAAAA==,(Senior) Data Scientist,OLX,,,A tiempo completo,False,,"Communication, Aws, Sql, Python, Spark, Java, Machine Learning",7
xIvGW8ZMGa-JxrrdAAAAAA==,Remote Senior Data Scientist,Onfido Ltd (UK),,,A tiempo completo,False,hace 1 día,"Machine Learning, Python, Tableau, Sql",4
hDnXvK6dzMWgyDlYAAAAAA==,"Data Scientist , Translational Medicine",Clarivate,,,A tiempo completo,False,hace 8 días,"Communication, Sql, Git, Python, Excel, R",6
0y7Mvm2BWeDBd64VAAAAAA==,Data Science Manager - remote within EMEA,Printful,,,A tiempo completo,False,,"Machine Learning, Python, Sql, Aws",4
yPHb40_m6x3aMIu3AAAAAA==,Senior Product Data Scientist,Onfido,,,A tiempo completo,False,,"Machine Learning, Python, Tableau, Sql",4
sIDTLgKCDgugFK1qAAAAAA==,"Senior Data Scientist, App Experience",Brainly,,,A tiempo completo,False,hace 14 horas,"Sql, Aws, Pandas, Python, Spark, Machine Learning",6
